timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/29 13:10:29.806, 0, 0, 5346, 81920, 88.46
2026/04/29 13:10:30.809, 0, 0, 5346, 81920, 88.46
2026/04/29 13:10:31.809, 3, 0, 5346, 81920, 88.46
2026/04/29 13:10:32.810, 8, 0, 5346, 81920, 90.21
2026/04/29 13:10:33.811, 19, 0, 5348, 81920, 88.46
2026/04/29 13:10:34.812, 23, 0, 5356, 81920, 88.73
2026/04/29 13:10:35.812, 25, 0, 5364, 81920, 97.95
2026/04/29 13:10:36.813, 13, 0, 5368, 81920, 88.73
2026/04/29 13:10:37.814, 19, 0, 5368, 81920, 110.44
2026/04/29 13:10:38.815, 29, 1, 5368, 81920, 88.73
2026/04/29 13:10:39.815, 31, 1, 5370, 81920, 105.97
2026/04/29 13:10:40.816, 28, 1, 5370, 81920, 101.82
2026/04/29 13:10:41.817, 24, 1, 5370, 81920, 126.48
2026/04/29 13:10:42.817, 35, 1, 5370, 81920, 88.14
2026/04/29 13:10:43.818, 10, 0, 5370, 81920, 116.06
2026/04/29 13:10:44.819, 41, 2, 5370, 81920, 141.58
2026/04/29 13:10:45.819, 29, 1, 5370, 81920, 161.49
2026/04/29 13:10:46.820, 33, 2, 5370, 81920, 117.53
2026/04/29 13:10:47.821, 42, 1, 5370, 81920, 151.84
2026/04/29 13:10:48.822, 33, 2, 5370, 81920, 130.49
2026/04/29 13:10:49.822, 43, 3, 5370, 81920, 128.22
2026/04/29 13:10:50.823, 51, 3, 5370, 81920, 134.03
2026/04/29 13:10:51.824, 48, 3, 5370, 81920, 154.35
2026/04/29 13:10:52.825, 26, 1, 5370, 81920, 135.97
2026/04/29 13:10:53.825, 40, 3, 5370, 81920, 118.34
2026/04/29 13:10:54.826, 39, 4, 5370, 81920, 130.62
2026/04/29 13:10:55.827, 14, 0, 5370, 81920, 126.48
2026/04/29 13:10:56.828, 54, 4, 5370, 81920, 140.24
2026/04/29 13:10:57.829, 32, 2, 5372, 81920, 198.70
2026/04/29 13:10:58.829, 56, 5, 5372, 81920, 229.54
2026/04/29 13:10:59.830, 46, 4, 5372, 81920, 190.36
2026/04/29 13:11:00.863, 39, 3, 5372, 81920, 187.42
2026/04/29 13:11:01.863, 38, 7, 5372, 81920, 142.03
2026/04/29 13:11:02.864, 26, 2, 5372, 81920, 118.13
2026/04/29 13:11:03.865, 66, 4, 5372, 81920, 144.59
2026/04/29 13:11:04.866, 39, 7, 5372, 81920, 155.87
2026/04/29 13:11:05.866, 39, 3, 5372, 81920, 123.81
2026/04/29 13:11:06.867, 36, 4, 5372, 81920, 134.49
2026/04/29 13:11:07.868, 52, 9, 5372, 81920, 144.10
2026/04/29 13:11:08.869, 45, 4, 5372, 81920, 141.58
2026/04/29 13:11:09.869, 63, 7, 5372, 81920, 164.00
2026/04/29 13:11:10.870, 64, 5, 5372, 81920, 120.20
2026/04/29 13:11:11.871, 55, 7, 5372, 81920, 181.81
2026/04/29 13:11:12.871, 30, 4, 5372, 81920, 137.90
2026/04/29 13:11:13.872, 54, 10, 5372, 81920, 134.49
2026/04/29 13:11:14.873, 61, 7, 5372, 81920, 232.81
2026/04/29 13:11:15.873, 42, 7, 5372, 81920, 187.69
2026/04/29 13:11:16.874, 48, 2, 5372, 81920, 130.89
2026/04/29 13:11:17.875, 52, 7, 5372, 81920, 226.00
2026/04/29 13:11:18.876, 28, 3, 5372, 81920, 124.67
2026/04/29 13:11:19.876, 44, 5, 5372, 81920, 206.98
2026/04/29 13:11:20.877, 64, 13, 5372, 81920, 290.94
2026/04/29 13:11:21.878, 38, 6, 5372, 81920, 138.04
2026/04/29 13:11:22.879, 29, 5, 5372, 81920, 221.25
2026/04/29 13:11:23.879, 40, 5, 5372, 81920, 138.31
2026/04/29 13:11:24.880, 66, 6, 5372, 81920, 263.10
2026/04/29 13:11:25.881, 35, 4, 5372, 81920, 119.34
2026/04/29 13:11:26.881, 36, 3, 5372, 81920, 123.20
2026/04/29 13:11:27.882, 49, 13, 5372, 81920, 150.20
2026/04/29 13:11:28.883, 42, 12, 5372, 81920, 131.22
2026/04/29 13:11:29.884, 36, 8, 5372, 81920, 133.90
2026/04/29 13:11:30.887, 58, 10, 5372, 81920, 241.41
2026/04/29 13:11:31.888, 42, 11, 5372, 81920, 128.22
2026/04/29 13:11:32.937, 58, 5, 5372, 81920, 170.98
2026/04/29 13:11:33.938, 40, 10, 5372, 81920, 127.03
2026/04/29 13:11:34.938, 42, 7, 5372, 81920, 129.69
2026/04/29 13:11:35.939, 36, 3, 5372, 81920, 122.61
2026/04/29 13:11:36.940, 83, 11, 5372, 81920, 141.44
2026/04/29 13:11:37.941, 26, 7, 5372, 81920, 130.89
2026/04/29 13:11:38.941, 41, 3, 5372, 81920, 274.04
2026/04/29 13:11:39.942, 45, 1, 5372, 81920, 161.59
2026/04/29 13:11:40.943, 58, 7, 5372, 81920, 152.60
2026/04/29 13:11:41.943, 59, 13, 5372, 81920, 187.69
2026/04/29 13:11:42.944, 75, 13, 5372, 81920, 265.44
2026/04/29 13:11:43.945, 49, 17, 5372, 81920, 139.37
2026/04/29 13:11:44.946, 26, 4, 5372, 81920, 131.22
2026/04/29 13:11:45.946, 74, 22, 5372, 81920, 129.69
2026/04/29 13:11:46.947, 51, 10, 5372, 81920, 261.30
2026/04/29 13:11:47.948, 64, 3, 5372, 81920, 207.91
