timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/29 11:19:54.442, 29, 0, 5346, 81920, 116.39
2026/04/29 11:19:55.445, 0, 0, 5346, 81920, 88.23
2026/04/29 11:19:56.445, 4, 0, 5350, 81920, 88.14
2026/04/29 11:19:57.446, 19, 0, 5350, 81920, 94.41
2026/04/29 11:19:58.447, 16, 0, 5352, 81920, 88.14
2026/04/29 11:19:59.448, 20, 0, 5356, 81920, 95.56
2026/04/29 11:20:00.448, 23, 0, 5364, 81920, 96.48
2026/04/29 11:20:01.449, 26, 1, 5366, 81920, 97.95
2026/04/29 11:20:02.450, 30, 1, 5366, 81920, 100.62
2026/04/29 11:20:03.514, 30, 1, 5366, 81920, 128.55
2026/04/29 11:20:04.751, 24, 0, 5368, 81920, 105.37
2026/04/29 11:20:05.752, 25, 0, 5368, 81920, 113.12
2026/04/29 11:20:06.759, 27, 1, 5792, 81920, 105.09
2026/04/29 11:20:07.760, 28, 1, 5372, 81920, 131.22
2026/04/29 11:20:08.933, 29, 2, 5372, 81920, 129.69
2026/04/29 11:20:09.934, 44, 1, 5372, 81920, 137.44
2026/04/29 11:20:10.935, 34, 2, 5372, 81920, 116.93
2026/04/29 11:20:11.936, 36, 2, 5372, 81920, 117.53
2026/04/29 11:20:12.936, 32, 2, 5372, 81920, 117.53
2026/04/29 11:20:13.937, 47, 2, 5372, 81920, 121.73
2026/04/29 11:20:14.938, 40, 3, 5372, 81920, 118.73
2026/04/29 11:20:15.939, 34, 2, 5372, 81920, 152.27
2026/04/29 11:20:16.940, 48, 4, 5372, 81920, 139.84
2026/04/29 11:20:17.940, 0, 0, 5372, 81920, 116.93
2026/04/29 11:20:18.941, 39, 2, 5372, 81920, 119.93
2026/04/29 11:20:19.942, 45, 4, 5372, 81920, 127.35
2026/04/29 11:20:20.942, 18, 1, 5372, 81920, 203.44
2026/04/29 11:20:21.943, 42, 3, 5372, 81920, 176.74
2026/04/29 11:20:22.944, 42, 3, 5372, 81920, 154.94
2026/04/29 11:20:23.944, 50, 4, 5372, 81920, 200.17
2026/04/29 11:20:24.945, 44, 3, 5372, 81920, 119.34
2026/04/29 11:20:25.954, 32, 2, 5372, 81920, 149.00
2026/04/29 11:20:26.954, 79, 8, 5372, 81920, 157.78
2026/04/29 11:20:27.955, 48, 5, 5372, 81920, 192.69
2026/04/29 11:20:28.956, 37, 2, 5372, 81920, 138.91
2026/04/29 11:20:29.957, 32, 1, 5372, 81920, 195.15
2026/04/29 11:20:30.958, 50, 6, 5372, 81920, 162.52
2026/04/29 11:20:31.958, 43, 5, 5372, 81920, 189.82
2026/04/29 11:20:32.959, 61, 6, 5372, 81920, 134.16
2026/04/29 11:20:33.960, 25, 1, 5372, 81920, 165.46
2026/04/29 11:20:34.961, 44, 4, 5372, 81920, 130.49
2026/04/29 11:20:35.961, 51, 4, 5372, 81920, 242.61
2026/04/29 11:20:36.962, 42, 8, 5372, 81920, 123.20
2026/04/29 11:20:37.963, 37, 3, 5372, 81920, 143.98
2026/04/29 11:20:38.964, 67, 10, 5372, 81920, 164.17
2026/04/29 11:20:39.965, 42, 2, 5372, 81920, 160.45
2026/04/29 11:20:40.965, 48, 5, 5372, 81920, 183.28
2026/04/29 11:20:41.966, 54, 6, 5372, 81920, 140.57
2026/04/29 11:20:42.967, 58, 7, 5372, 81920, 132.70
2026/04/29 11:20:43.968, 65, 6, 5372, 81920, 142.78
2026/04/29 11:20:44.968, 46, 10, 5372, 81920, 151.08
2026/04/29 11:20:45.969, 31, 1, 5372, 81920, 183.55
2026/04/29 11:20:46.970, 35, 10, 5372, 81920, 188.02
2026/04/29 11:20:47.971, 53, 6, 5372, 81920, 186.55
2026/04/29 11:20:48.971, 44, 4, 5372, 81920, 142.18
2026/04/29 11:20:49.972, 64, 12, 5372, 81920, 136.70
2026/04/29 11:20:50.973, 49, 6, 5372, 81920, 124.95
2026/04/29 11:20:51.974, 41, 5, 5372, 81920, 266.04
2026/04/29 11:20:52.974, 48, 4, 5372, 81920, 138.04
2026/04/29 11:20:53.975, 52, 5, 5372, 81920, 217.06
2026/04/29 11:20:54.976, 59, 12, 5372, 81920, 131.82
2026/04/29 11:20:55.980, 62, 13, 5372, 81920, 133.29
2026/04/29 11:20:56.981, 59, 11, 5372, 81920, 196.03
2026/04/29 11:20:57.982, 76, 12, 5372, 81920, 137.44
2026/04/29 11:20:58.982, 56, 8, 5372, 81920, 167.86
2026/04/29 11:20:59.983, 61, 9, 5372, 81920, 241.41
2026/04/29 11:21:00.984, 61, 10, 5372, 81920, 138.64
2026/04/29 11:21:01.985, 45, 3, 5372, 81920, 148.40
2026/04/29 11:21:02.985, 78, 12, 5372, 81920, 161.93
2026/04/29 11:21:03.986, 61, 7, 5372, 81920, 120.20
2026/04/29 11:21:04.987, 61, 7, 5372, 81920, 143.05
2026/04/29 11:21:05.987, 67, 11, 5372, 81920, 140.98
